Equipo Local,Equipo Visitante,Año,GolesLocal,GolesVisitante
Marsella,Besiktas,2007,2,0
Oporto,Liverpool,2007,1,1
Besiktas,Oporto,2007,0,1
Liverpool,Marsella,2007,0,1
Besiktas,Liverpool,2007,2,1
Marsella,Oporto,2007,1,1
Oporto,Marsella,2007,2,1
Liverpool,Besiktas,2007,8,0
Besiktas,Marsella,2007,2,1
Liverpool,Oporto,2007,4,1
Oporto,Besiktas,2007,2,0
Marsella,Liverpool,2007,0,4
Chelsea,Rosenborg,2007,1,1
Schalke,Valencia,2007,0,1
Rosenborg,Schalke,2007,0,2
Valencia,Chelsea,2007,1,2
Rosenborg,Valencia,2007,2,0
Chelsea,Schalke,2007,2,0
Valencia,Rosenborg,2007,0,2
Schalke,Chelsea,2007,0,0
Rosenborg,Chelsea,2007,0,4
Valencia,Schalke,2007,0,0
Schalke,Rosenborg,2007,3,1
Chelsea,Valencia,2007,0,0
Olympiacos,Lazio,2007,1,1
R. Madrid,W. Bremen,2007,2,1
W. Bremen,Olympiacos,2007,1,3
Lazio,R. Madrid,2007,2,2
R. Madrid,Olympiacos,2007,4,2
W. Bremen,Lazio,2007,2,1
Lazio,W. Bremen,2007,2,1
Olympiacos,R. Madrid,2007,0,0
Lazio,Olympiacos,2007,1,2
W. Bremen,R. Madrid,2007,3,2
Olympiacos,W. Bremen,2007,3,0
R. Madrid,Lazio,2007,3,1
Shakhtar,Celtic,2007,2,0
Milan,Benfica,2007,2,1
Celtic,Milan,2007,2,1
Benfica,Shakhtar,2007,0,1
Milan,Shakhtar,2007,4,1
Benfica,Celtic,2007,1,0
Celtic,Benfica,2007,1,0
Shakhtar,Milan,2007,0,3
Celtic,Shakhtar,2007,2,1
Benfica,Milan,2007,1,1
Shakhtar,Benfica,2007,1,2
Milan,Celtic,2007,1,0
Rangers,Stuttgart,2007,2,1
Barcelona,Lyon,2007,3,0
Stuttgart,Barcelona,2007,0,2
Lyon,Rangers,2007,0,3
Stuttgart,Lyon,2007,0,2
Rangers,Barcelona,2007,0,0
Lyon,Stuttgart,2007,4,2
Barcelona,Rangers,2007,2,0
Stuttgart,Rangers,2007,3,2
Lyon,Barcelona,2007,2,2
Rangers,Lyon,2007,0,3
Barcelona,Stuttgart,2007,3,1
Roma,Dynamo Kiev,2007,2,0
Sporting CP,Man. United,2007,0,1
Man. United,Roma,2007,1,0
Dynamo Kiev,Sporting CP,2007,1,2
Roma,Sporting CP,2007,2,1
Dynamo Kiev,Man. United,2007,2,4
Man. United,Dynamo Kiev,2007,4,0
Sporting CP,Roma,2007,2,2
Dynamo Kiev,Roma,2007,1,4
Man. United,Sporting CP,2007,2,1
Sporting CP,Dynamo Kiev,2007,3,0
Roma,Man. United,2007,1,1
Fenerbahçe,Inter,2007,1,0
PSV,CSKA,2007,2,1
CSKA,Fenerbahçe,2007,2,2
Inter,PSV,2007,2,0
CSKA,Inter,2007,1,2
PSV,Fenerbahçe,2007,0,0
Fenerbahçe,PSV,2007,2,0
Inter,CSKA,2007,4,2
CSKA,PSV,2007,0,1
Inter,Fenerbahçe,2007,3,0
Fenerbahçe,CSKA,2007,3,1
PSV,Inter,2007,0,1
Arsenal,Sevilla,2007,3,0
Slavia Praga,Steaua B.,2007,2,1
Steaua B.,Arsenal,2007,0,1
Sevilla,Slavia Praga,2007,4,2
Arsenal,Slavia Praga,2007,7,0
Sevilla,Steaua B.,2007,2,1
Steaua B.,Sevilla,2007,0,2
Slavia Praga,Arsenal,2007,0,0
Sevilla,Arsenal,2007,3,1
Steaua B.,Slavia Praga,2007,1,1
Slavia Praga,Sevilla,2007,0,3
Arsenal,Steaua B.,2007,2,1
Liverpool,Inter,2007,2,0
Schalke,Oporto,2007,1,0
Roma,R. Madrid,2007,2,1
Olympiacos,Chelsea,2007,0,0
Celtic,Barcelona,2007,2,3
Fenerbahçe,Sevilla,2007,3,2
Lyon,Man. United,2007,1,1
Arsenal,Milan,2007,0,0
Inter,Liverpool,2007,0,1
Oporto,Schalke,2007,1,0
R. Madrid,Roma,2007,1,2
Chelsea,Olympiacos,2007,3,0
Barcelona,Celtic,2007,1,0
Sevilla,Fenerbahçe,2007,3,2
Man. United,Lyon,2007,1,0
Milan,Arsenal,2007,0,2
Schalke,Barcelona,2007,0,1
Roma,Man. United,2007,0,2
Arsenal,Liverpool,2007,1,1
Fenerbahçe,Chelsea,2007,2,1
Barcelona,Schalke,2007,1,0
Man. United,Roma,2007,1,0
Liverpool,Arsenal,2007,4,2
Chelsea,Fenerbahçe,2007,2,0
Barcelona,Man. United,2007,0,0
Liverpool,Chelsea,2007,1,1
Man. United,Barcelona,2007,1,0
Chelsea,Liverpool,2007,3,2
Man. United,Chelsea,2007,1,1
Roma,CFR Cluj,2008,1,2
Chelsea,Girondins,2008,4,0
Girondins,Roma,2008,1,3
CFR Cluj,Chelsea,2008,0,0
